id	store_code	quantity	availability	price
897	11072484000919481729	999	in stock	121.89 PLN
902	11072484000919481729	999	in stock	51.89 PLN
903	11072484000919481729	0	out of stock	33.89 PLN
904	11072484000919481729	999	in stock	42.89 PLN
905	11072484000919481729	0	out of stock	69.89 PLN
907	11072484000919481729	0	out of stock	49.89 PLN
908	11072484000919481729	999	in stock	49.89 PLN
909	11072484000919481729	999	in stock	22.89 PLN
910	11072484000919481729	0	out of stock	71.89 PLN
911	11072484000919481729	999	in stock	128.89 PLN
914	11072484000919481729	999	in stock	69.89 PLN
915	11072484000919481729	999	in stock	34.89 PLN
916	11072484000919481729	999	in stock	34.89 PLN
917	11072484000919481729	999	in stock	32.89 PLN
918	11072484000919481729	0	out of stock	219.89 PLN
924	11072484000919481729	0	out of stock	529.89 PLN
944	11072484000919481729	0	out of stock	319.89 PLN
949	11072484000919481729	999	in stock	169.89 PLN
955	11072484000919481729	999	in stock	169.89 PLN
958	11072484000919481729	999	in stock	89.89 PLN
959	11072484000919481729	999	in stock	75.89 PLN
961	11072484000919481729	999	in stock	44.89 PLN
966	11072484000919481729	0	out of stock	64.89 PLN
970	11072484000919481729	999	in stock	294.89 PLN
971	11072484000919481729	999	in stock	29.89 PLN
972	11072484000919481729	999	in stock	15.89 PLN
973	11072484000919481729	999	in stock	29.89 PLN
977	11072484000919481729	0	out of stock	9.89 PLN
984	11072484000919481729	999	in stock	19.89 PLN
987	11072484000919481729	999	in stock	36.89 PLN
994	11072484000919481729	999	in stock	269.89 PLN
1000	11072484000919481729	0	out of stock	29.89 PLN
1001	11072484000919481729	999	in stock	32.89 PLN
1006	11072484000919481729	999	in stock	9.89 PLN
1013	11072484000919481729	999	in stock	37.89 PLN
1014	11072484000919481729	999	in stock	34.89 PLN
1018	11072484000919481729	999	in stock	49.89 PLN
1023	11072484000919481729	999	in stock	8.89 PLN
1024	11072484000919481729	999	in stock	129.89 PLN
1026	11072484000919481729	999	in stock	49.89 PLN
1035	11072484000919481729	999	in stock	95.89 PLN
